	category_1	city_1	category_2	city_2	category_3	city_3	category_4	city_4	category_5	city_5
343	Accommodation	Khobar								
344	Accommodation	Makkah								
345	Tourism Attractions/ Sites	Madinah	Retail	Riyadh						
346	Food & Beverage	Tabuk								
347	Food & Beverage	Tabuk								
348	Tourism Attractions/ Sites	Madinah								
349	Tourism Attractions/ Sites	Umluj								
350	Tourism Attractions/ Sites	Madinah								
351	Tourism Attractions/ Sites	Tabuk								
352	Accommodation	Makkah								
353	Tourism Attractions/ Sites	Al Ahsa								
354	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
355	Tourism Attractions/ Sites	Al Baha								
356	Accommodation	Hail								
357	Retail	Jeddah								
358	Tourism Attractions/ Sites	KAEC								
359	Tourism Attractions/ Sites	Khobar								
360	Tourism Attractions/ Sites	Khobar								
361	Retail	Riyadh								
362	Food & Beverage	Riyadh								
363	Accommodation	Dammam								
364	Tourism Attractions/ Sites	Madinah								
365	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
366	Tourism Attractions/ Sites	Taif								
367	Food & Beverage	Tabuk								
368	Tourism Attractions/ Sites	Tabuk								
369	Accommodation	Khobar								
370	Tourism Attractions/ Sites	Jizan								
371	Tourism Attractions/ Sites	Taif								
372	Retail	Dammam								
373	Accommodation	Jeddah								
374	Tourism Attractions/ Sites	Al Namas								
375	Retail	Makkah	Tourism Attractions/ Sites	Makkah						
376	Accommodation	Riyadh	Food & Beverage	Riyadh						
377	Tourism Attractions/ Sites	Al Ahsa								
378	Tourism Attractions/ Sites	Dammam								
379	Accommodation	Riyadh								
380	Accommodation	Abha								
381	Tourism Attractions/ Sites	Tabuk								
382	Tourism Attractions/ Sites	Al Baha								
383	Accommodation	Riyadh								
384	Tourism Attractions/ Sites	Taif								
385	Tourism Attractions/ Sites	Tanomah								
386	Accommodation	Jeddah	Retail	Jeddah	Food & Beverage	Riyadh				
387	Tourism Attractions/ Sites	Madinah	Tourism Attractions/ Sites	Riyadh						
388	Tourism Attractions/ Sites	Madinah								
389	Accommodation	Jeddah	Food & Beverage	Riyadh						
390	Tourism Attractions/ Sites	Yanbu								
391	Tourism Attractions/ Sites	Abha								
392	Accommodation	Taif								
393	Accommodation	Khobar	Food & Beverage	Riyadh						
394	Food & Beverage	Al Ahsa	Tourism Attractions/ Sites	Al Ahsa						
395	Tourism Attractions/ Sites	Umluj								
396	Food & Beverage	Taif	Tourism Attractions/ Sites	Taif						
397	Accommodation	Khobar	Food & Beverage	Riyadh						
398	Tourism Attractions/ Sites	Umluj								
399	Food & Beverage	Taif								
400	Tourism Attractions/ Sites	Khobar								
401	Tourism Attractions/ Sites	Al Ahsa	Retail	Al Ahsa						
402	Tourism Attractions/ Sites	Khobar								
403	Food & Beverage	Riyadh								
404	Accommodation	Taif								
405	Tourism Attractions/ Sites	Taif								
406	Tourism Attractions/ Sites	Madinah	Accommodation	Riyadh						
407	Food & Beverage	Riyadh								
408	Tourism Attractions/ Sites	Taif								
409	Tourism Attractions/ Sites	Jizan								
410	Accommodation	Taif								
411	Tourism Attractions/ Sites	Madinah								
412	Tourism Attractions/ Sites	Taif								
413	Accommodation	Jeddah								
414	Tourism Attractions/ Sites	Madinah								
415	Accommodation	Jeddah								
416	Tourism Attractions/ Sites	Riyadh	Retail	Riyadh						
417	Tourism Attractions/ Sites	Madinah								
418	Tourism Attractions/ Sites	Khobar	Tourism Attractions/ Sites	Dammam						
419	Religious	Makkah								
420	Accommodation	Madinah								
421	Tourism Attractions/ Sites	Al Ahsa								
422	Tourism Attractions/ Sites	Umluj								
423	Food & Beverage	Tabuk								
424	Tourism Attractions/ Sites	Tabuk								
425	Tourism Attractions/ Sites	Tanomah								
